"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
816091,-1.26601,43.48025,354887,6273898,0,"64"
816114,-2.659794,47.552447,274695,6732146,0,"56"
816178,6.952703,47.712377,996267,6742082,0,"90"
816198,4.750325,47.976782,830585,6765491,0,"21"
816224,1.582183,48.466812,595197,6819446,0,"28"
816238,4.229639,45.412789,796177,6480012,0,"42"
816326,5.634418,47.541126,898138,6718945,8,"70"
816348,-1.853504,48.466883,341443,6829536,9,"35"
816382,0.907833,47.417243,542270,6703967,0,"37"
816387,4.388937,47.641808,804281,6727742,0,"21"
816411,4.830203,48.532852,835111,6827412,0,"52"
816417,5.918196,48.990759,913519,6880705,0,"54"
816442,6.532152,47.458082,966031,6712365,0,"25"
816453,1.225482,47.438713,566267,6705765,0,"41"
816455,-1.426247,47.797095,368802,6753363,0,"44"
816500,0.640933,44.138492,511276,6340540,0,"47"
816549,2.924954,47.658428,694367,6728674,0,"45"
816600,0.436648,47.248504,506150,6686280,0,"37"
816606,3.89724,47.217607,767902,6680087,0,"58"
816684,7.077683,47.617243,1006172,6732003,0,"68"
816701,5.958698,46.054506,928702,6554812,0,"74"
816707,1.882995,44.960132,611921,6429614,0,"19"
816724,2.151567,44.205467,632197,6345526,0,"12"
816774,5.372387,49.00589,873546,6881049,0,"55"
816777,6.976651,48.900272,991414,6874036,0,"67"
816887,5.539698,46.409341,895059,6593069,0,"39"
816932,6.132771,45.580404,944239,6502723,0,"73"
816962,3.956849,46.568911,773286,6608097,0,"71"
816969,5.426668,47.168762,883789,6677100,0,"21"
816972,7.434915,49.115666,1023618,6899741,8,"57"
817044,1.792101,49.079166,611754,6887266,0,"75"
817088,8.008007,48.837578,1067344,6871378,0,"67"
817104,-2.239988,47.623826,306719,6737881,0,"56"
817134,5.936073,47.676225,920258,6734744,0,"70"
817139,4.767695,46.608509,835283,6613565,0,"71"
817188,3.001978,44.239574,700158,6348951,0,"12"
817193,-0.468693,46.365821,433418,6590955,0,"79"
817224,5.451282,48.500127,881061,6825019,0,"55"
817240,5.747457,48.059977,904631,6776849,8,"88"
817295,2.971964,47.13645,697875,6670687,8,"18"
817296,0.263283,43.538457,478765,6274877,0,"32"
817444,-1.266742,48.594228,385510,6841168,0,"50"
817505,6.832763,48.815775,981334,6864130,8,"57"
817589,5.911725,45.731785,926394,6518863,0,"73"
817591,5.330009,47.801396,874397,6747129,8,"52"
