SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:50;;;
Projet;_Forest resources database;;;;;;;
;;;;;;;;
;;;;;;;;
Calculation: ;Analyser;;;;;;;
Results: ;Inventaire;;;;;;;
Product: ;1 ha _Oak forest manual clearance by brush-cutter, in forest/FR U (of project _Forest resources database);;;;;;;
Méthode: ;;;;;;;;
Indicateur: ;Inventaire;;;;;;;
Unité: ;?;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;
Per sub-compartment: ;Oui;;;;;;;
Default units: ;Non;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;
Sorted on item: ;Substance;;;;;;;
Sort order: ;Croissant;;;;;;;
;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest manual clearance by brush-cutter, in forest/FR U;_Power sawing, without catalytic converter/hr/RER_Brush-cutter/hr/FR U;Operation, passenger car, diesel, fleet average/RER S
209;Calcium;Sol;agricultural;kg;3.52236E-05;x;2.9771E-05;5.45257E-06
210;Calcium;Sol;industrial;kg;0.002231967;x;0.001557044;0.000674923
211;Calcium, ion;Eau;;kg;9.62162E-07;x;8.03428E-07;1.58734E-07
212;Calcium, ion;Eau;groundwater;kg;0.000652314;x;0.000516636;0.000135678
213;Calcium, ion;Eau;lake;kg;3.33918E-07;x;2.9874E-07;3.51778E-08
214;Calcium, ion;Eau;ocean;kg;0.012161938;x;0.008884418;0.00327752
215;Calcium, ion;Eau;river;kg;0.027739603;x;0.017902581;0.009837022
216;Carbetamide;Sol;agricultural;kg;1.75454E-10;x;8.27608E-11;9.26928E-11
217;Carbofuran;Sol;agricultural;kg;1.59879E-08;x;1.13621E-08;4.62572E-09
218;Carbon;Sol;agricultural;kg;2.39935E-05;x;2.18397E-05;2.15374E-06
219;Carbon;Sol;industrial;kg;0.001673978;x;0.001167783;0.000506195
220;Carbon-14;Air;low. pop.;Bq;61.95459043;x;46.14030978;15.81428066
221;Carbon dioxide, biogenic;Air;;kg;0.004884522;x;0.003539896;0.001344627
222;Carbon dioxide, biogenic;Air;high. pop.;kg;0.091065587;x;0.075551352;0.015514235
223;Carbon dioxide, biogenic;Air;low. pop.;kg;0.036943298;x;0.034495754;0.002447544
224;Carbon dioxide, fossil;Air;;kg;22.39977574;x;0.52993508;21.86984066
225;Carbon dioxide, fossil;Air;high. pop.;kg;6.972746489;x;5.542456456;1.430290033
