SimaPro 7.3;Inventaire;Date:;04/03/2014;Heure:;16:55;;;;;;;
Projet;_Forest resources database;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Calculation: ;Analyser;;;;;;;;;;;
Results: ;Inventaire;;;;;;;;;;;
Product: ;1 ha _Oak forest rack cleaning by gyratory crusher, in forest/FR U (of project _Forest resources database);;;;;;;;;;;
Méthode: ;;;;;;;;;;;;
Indicateur: ;Inventaire;;;;;;;;;;;
Unité: ;?;;;;;;;;;;;
Compartiment: ;Tous les compartiments;;;;;;;;;;;
Per sub-compartment: ;Oui;;;;;;;;;;;
Default units: ;Non;;;;;;;;;;;
Exclure les processus d'infrastructure: ;Non;;;;;;;;;;;
Exclure les émissions à long terme: ;Oui;;;;;;;;;;;
Sorted on item: ;Substance;;;;;;;;;;;
Sort order: ;Croissant;;;;;;;;;;;
;;;;;;;;;;;;
N°;Substance;Compartiment;Sous-compartiment;Unité;Total;_Oak forest rack cleaning by gyratory crusher, in forest/FR U;Operation, lorry 3.5-16t, fleet average/RER S;Diesel, at regional storage/RER S;_Tillage, ploughing/CH U_Air emissions of tractor diesel combustion, in forest/FR U;_Tillage, ploughing/CH U_Soil emissions from tyre abrasion of tractor, in forest/FR U;Tractor, production/CH/I S;Agricultural machinery, general, production/CH/I S
739;Occupation, dump site;Brut;land;m2a;0.043335661;x;0.00017407;0.003391097;x;x;0.016260694;0.0235098
740;Occupation, dump site, benthos;Brut;land;m2a;0.010253753;x;0.00031774;0.009049622;x;x;0.000531634;0.000354756
741;Occupation, forest, intensive;Brut;land;m2a;0.031665354;x;0.000052779;0.000725001;x;x;0.028159194;0.00272838
742;Occupation, forest, intensive, normal;Brut;land;m2a;0.389414805;x;0.0024357;0.045390072;x;x;0.1596625;0.181926533
743;Occupation, forest, intensive, short-cycle;Brut;land;m2a;0.000500989;x;0.000017875;0.000397575;x;x;6.14432E-05;2.40959E-05
744;Occupation, industrial area;Brut;land;m2a;0.100324843;x;0.0028981;0.075841584;x;x;0.009375406;0.012209753
745;Occupation, industrial area, benthos;Brut;land;m2a;7.98009E-05;x;2.7685E-06;6.94184E-05;x;x;4.45612E-06;3.15783E-06
746;Occupation, industrial area, built up;Brut;land;m2a;0.015952772;x;0.00019762;0.003572587;x;x;0.005426611;0.006755953
747;Occupation, industrial area, vegetation;Brut;land;m2a;0.005418731;x;0.00010562;0.001810885;x;x;0.001591619;0.001910606
748;Occupation, mineral extraction site;Brut;land;m2a;0.019633664;x;0.00031496;0.00673764;x;x;0.004887778;0.007693287
749;Occupation, permanent crop, fruit, intensive;Brut;land;m2a;0.000727546;x;0.000025731;0.000571684;x;x;9.74523E-05;3.26784E-05
750;Occupation, shrub land, sclerophyllous;Brut;land;m2a;0.000848142;x;4.8731E-06;7.55795E-05;x;x;0.00027295;0.000494739
751;Occupation, traffic area, rail embankment;Brut;land;m2a;0.004011312;x;0.00016244;0.000842216;x;x;0.001157594;0.001849063
752;Occupation, traffic area, rail network;Brut;land;m2a;0.00443558;x;0.00017962;0.000931301;x;x;0.001280038;0.00204462
753;Occupation, traffic area, road embankment;Brut;land;m2a;0.00513767;x;0.000090707;0.000649784;x;x;0.002287686;0.002109493
754;Occupation, traffic area, road network;Brut;land;m2a;0.046057001;x;0.0025299;0.031375344;x;x;0.005216231;0.006935527
755;Occupation, urban, discontinuously built;Brut;land;m2a;1.63287E-05;x;1.0857E-07;2.28446E-06;x;x;5.15116E-06;8.78454E-06
756;Occupation, water bodies, artificial;Brut;land;m2a;0.020191915;x;0.00036563;0.007238213;x;x;0.005914506;0.006673567
757;Occupation, water courses, artificial;Brut;land;m2a;0.025376575;x;0.0015542;0.00697373;x;x;0.008127992;0.008720653
758;Oil, crude;Brut;in ground;kg;28.24762611;x;1.3213;24.20964;x;x;1.821286111;0.8954
759;Oils, biogenic;Sol;;kg;2.90434E-06;x;1.1761E-07;6.09795E-07;x;x;8.38151E-07;1.33878E-06
760;Oils, biogenic;Sol;forestry;kg;3.33475E-06;x;2.3604E-08;4.20354E-07;x;x;1.6006E-06;1.29019E-06
761;Oils, unspecified;Eau;;kg;5.76811E-05;x;6.1482E-07;1.25497E-05;x;x;1.41569E-05;3.03597E-05
762;Oils, unspecified;Eau;ocean;kg;0.018329351;x;0.00070546;0.016314917;x;x;0.000826741;0.000482233
763;Oils, unspecified;Eau;river;kg;0.098469234;x;0.0031517;0.088995816;x;x;0.004156083;0.002165635
764;Oils, unspecified;Sol;;kg;0.000559508;x;0.000019673;0.00050315;x;x;2.37955E-05;1.28898E-05
765;Oils, unspecified;Sol;forestry;kg;0.122526211;x;0.003884;0.110820528;x;x;0.005148803;0.00267288
766;Oils, unspecified;Sol;industrial;kg;4.13317E-06;x;1.1193E-07;2.66164E-06;x;x;6.57509E-07;7.02087E-07
767;Olivine;Brut;in ground;kg;4.8012E-07;x;1.7632E-09;3.10827E-08;x;x;3.69101E-07;7.81736E-08
768;Orbencarb;Sol;agricultural;kg;2.34192E-08;x;3.8966E-11;5.67818E-10;x;x;1.78006E-08;5.01177E-09
769;Ozone;Air;;kg;7.9735E-05;x;8.932E-07;1.70538E-05;x;x;3.09005E-05;3.08876E-05
770;Ozone;Air;high. pop.;kg;1.63959E-08;x;2.4201E-10;4.11815E-09;x;x;4.63058E-09;7.40518E-09
771;Ozone;Air;low. pop.;kg;1.25703E-09;x;6.7133E-12;6.85448E-11;x;x;9.04445E-10;2.77327E-10
772;PAH, polycyclic aromatic hydrocarbons;Air;;kg;7.65374E-06;x;2.8832E-08;3.18798E-07;x;x;5.59974E-06;1.70637E-06
773;PAH, polycyclic aromatic hydrocarbons;Air;high. pop.;kg;6.23675E-07;x;3.3214E-09;6.56751E-08;x;x;3.25626E-07;2.29052E-07
774;PAH, polycyclic aromatic hydrocarbons;Air;low. pop.;kg;7.26793E-05;x;2.3181E-08;5.21452E-07;7.18795E-05;x;1.07883E-07;1.47262E-07
775;PAH, polycyclic aromatic hydrocarbons;Eau;ocean;kg;4.55144E-06;x;1.4427E-07;4.1164E-06;x;x;1.9133E-07;9.94412E-08
776;PAH, polycyclic aromatic hydrocarbons;Eau;river;kg;5.93243E-06;x;2.7041E-07;4.90614E-06;x;x;4.23323E-07;3.32556E-07
777;Particulates, < 2.5 um;Air;;kg;0.003590091;x;0.0014801;0.000302266;x;x;0.000693976;0.001113749
778;Particulates, < 2.5 um;Air;high. pop.;kg;0.001837919;x;0.000051694;0.001063171;x;x;0.000435218;0.000287835
779;Particulates, < 2.5 um;Air;low. pop.;kg;0.124066808;x;0.00012355;0.002371824;0.115475862;x;0.002232772;0.0038628
780;Particulates, < 2.5 um;Air;stratosphere + troposphere;kg;1.10017E-11;x;2.1933E-13;3.83816E-12;x;x;5.09301E-12;1.85123E-12
781;Particulates, > 10 um;Air;;kg;0.000824817;x;0.00057616;6.42271E-05;x;x;7.4172E-05;0.000110258
782;Particulates, > 10 um;Air;high. pop.;kg;0.000749694;x;0.000024309;0.000471875;x;x;0.000138909;0.000114601
783;Particulates, > 10 um;Air;low. pop.;kg;0.030800692;x;0.00012617;0.002555062;x;x;0.009356267;0.018763193
784;Particulates, > 2.5 um, and < 10um;Air;;kg;0.000878905;x;0.00062994;5.87409E-05;x;x;9.63599E-05;9.38641E-05
785;Particulates, > 2.5 um, and < 10um;Air;high. pop.;kg;0.000477918;x;6.4778E-06;0.000132453;x;x;0.000165095;0.000173893
786;Particulates, > 2.5 um, and < 10um;Air;low. pop.;kg;0.018271414;x;0.00004923;0.000973977;x;x;0.005660547;0.01158766
787;Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;Brut;in ground;kg;3.46492E-08;x;1.1757E-09;3.02004E-08;x;x;2.08864E-09;1.18449E-09
788;Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;Brut;in ground;kg;8.32678E-08;x;2.8255E-09;7.25765E-08;x;x;5.01925E-09;2.84653E-09
789;Peat;Brut;biotic;kg;0.000448352;x;6.5932E-07;7.52235E-06;x;x;0.000352259;0.000087912
790;Pentane;Air;;kg;1.32923E-07;x;1.0905E-10;1.56398E-09;x;x;1.09154E-07;2.20966E-08
791;Pentane;Air;high. pop.;kg;0.002054673;x;0.000098598;0.001752311;x;x;0.000119178;8.45869E-05
792;Pentane;Air;low. pop.;kg;4.70508E-06;x;8.4657E-08;1.75998E-06;x;x;1.55364E-06;1.30682E-06
793;Phenol;Air;;kg;7.25925E-09;x;7.5023E-11;1.30522E-09;x;x;3.24978E-09;2.62922E-09
794;Phenol;Air;high. pop.;kg;8.08907E-07;x;6.2875E-10;5.62293E-09;x;x;6.46291E-07;1.56364E-07
795;Phenol;Air;low. pop.;kg;2.92943E-07;x;7.4728E-09;1.2731E-07;x;x;7.62964E-08;8.18637E-08
796;Phenol;Eau;;kg;1.23342E-07;x;1.5186E-09;2.9318E-08;x;x;6.01108E-08;3.23947E-08
797;Phenol;Eau;ocean;kg;7.18151E-05;x;2.2762E-06;6.49369E-05;x;x;3.02601E-06;1.576E-06
798;Phenol;Eau;river;kg;9.7214E-05;x;4.5613E-06;8.2968E-05;x;x;6.51503E-06;3.16967E-06
799;Phenol, 2,4-dichloro-;Air;high. pop.;kg;1.04894E-11;x;7.6995E-14;1.54472E-12;x;x;3.14894E-12;5.71872E-12
800;Phenol, pentachloro-;Air;high. pop.;kg;4.81825E-11;x;3.5655E-13;6.33185E-12;x;x;2.87422E-11;1.27519E-11
801;Phenol, pentachloro-;Air;low. pop.;kg;3.3679E-08;x;6.5383E-10;1.36249E-08;x;x;9.42605E-09;9.97421E-09
802;Phosphate;Eau;groundwater;kg;0.006177436;x;0.000035395;0.000698421;x;x;0.003365058;0.002078561
803;Phosphate;Eau;ocean;kg;2.03604E-05;x;5.3679E-07;1.27572E-05;x;x;3.33826E-06;3.72812E-06
804;Phosphate;Eau;river;kg;2.29872E-05;x;1.5026E-07;2.72345E-06;x;x;1.4714E-05;5.39953E-06
805;Phosphine;Air;high. pop.;kg;9.3541E-13;x;1.254E-14;8.66699E-14;x;x;6.30715E-13;2.05486E-13
806;Phosphorus;Brut;in ground;kg;0.000215649;x;4.9312E-06;0.000116665;x;x;5.21093E-05;4.19432E-05
807;Phosphorus;Air;;kg;4.60369E-09;x;5.3113E-12;6.39715E-11;x;x;4.41902E-09;1.15388E-10
808;Phosphorus;Air;high. pop.;kg;1.19133E-06;x;7.8004E-09;1.56254E-07;x;x;5.30118E-07;4.97157E-07
809;Phosphorus;Air;low. pop.;kg;2.0532E-07;x;4.9489E-10;9.31301E-09;x;x;6.13549E-08;1.34157E-07
810;Phosphorus;Eau;;kg;1.18738E-07;x;1.5184E-09;2.93202E-08;x;x;5.62639E-08;3.1635E-08
811;Phosphorus;Eau;groundwater;kg;3.13204E-09;x;1.1173E-10;2.48496E-09;x;x;3.84574E-10;1.50785E-10
812;Phosphorus;Eau;ocean;kg;4.54744E-06;x;1.4388E-07;4.10374E-06;x;x;1.95423E-07;1.04402E-07
813;Phosphorus;Eau;river;kg;1.37646E-05;x;2.4462E-07;3.6831E-06;x;x;5.87858E-06;3.95826E-06
814;Phosphorus;Sol;agricultural;kg;1.75218E-06;x;2.8142E-08;5.69107E-07;x;x;5.5519E-07;5.99745E-07
815;Phosphorus;Sol;industrial;kg;4.03951E-05;x;1.4841E-06;3.587E-05;x;x;1.92905E-06;1.11192E-06
816;Phosphorus, 18% in apatite, 4% in crude ore, in ground;Brut;in ground;kg;0.000403331;x;0.000011144;0.000265225;x;x;6.2565E-05;6.43973E-05
817;Pirimicarb;Sol;agricultural;kg;3.63919E-09;x;4.3153E-12;2.52208E-11;x;x;1.23243E-09;2.37723E-09
818;Platinum;Air;high. pop.;kg;1.15336E-12;x;3.3976E-15;2.05999E-14;x;x;5.08079E-13;6.21279E-13
819;Platinum;Air;low. pop.;kg;2.70817E-12;x;3.5575E-14;6.96434E-13;x;x;9.23805E-13;1.05235E-12
820;Plutonium-238;Air;low. pop.;Bq;3.3562E-08;x;3.6217E-10;6.80753E-09;x;x;1.25713E-08;1.3821E-08
821;Plutonium-alpha;Air;low. pop.;Bq;7.69362E-08;x;8.3024E-10;1.56053E-08;x;x;2.88188E-08;3.16819E-08
822;Polonium-210;Air;;Bq;4.36643E-09;x;3.4434E-11;5.85902E-10;x;x;1.77609E-09;1.97E-09
823;Polonium-210;Air;high. pop.;Bq;0.752243213;x;0.00060284;0.01118754;x;x;0.2653975;0.475055333
824;Polonium-210;Air;low. pop.;Bq;1.506951204;x;0.023076;0.46822776;x;x;0.528086111;0.487561333
825;Polonium-210;Eau;groundwater;Bq;0.001481332;x;0.000040927;0.000974566;x;x;0.000229534;0.000236304
826;Polonium-210;Eau;ocean;Bq;1.841856996;x;0.04856;1.15404744;x;x;0.301982222;0.337267333
827;Polonium-210;Eau;river;Bq;0.326172951;x;0.0056065;0.11631984;x;x;0.115754944;0.088491667
828;Polychlorinated biphenyls;Air;;kg;3.52075E-08;x;1.5647E-10;2.98662E-09;x;x;1.00045E-08;2.20599E-08
829;Polychlorinated biphenyls;Air;high. pop.;kg;3.94066E-14;x;5.2832E-16;3.64815E-15;x;x;2.6578E-14;8.65208E-15
830;Potassium;Air;high. pop.;kg;4.60187E-05;x;5.2183E-07;1.05127E-05;x;x;1.69512E-05;1.80331E-05
831;Potassium;Air;low. pop.;kg;3.91583E-06;x;7.4632E-09;1.4163E-07;x;x;1.18611E-06;2.58063E-06
832;Potassium;Sol;agricultural;kg;9.74406E-06;x;1.565E-07;3.16483E-06;x;x;3.08754E-06;3.33518E-06
833;Potassium;Sol;industrial;kg;0.000282748;x;0.000010389;0.000251073;x;x;1.35031E-05;7.78357E-06
834;Potassium-40;Air;;Bq;5.87757E-10;x;4.6351E-12;7.88664E-11;x;x;2.39089E-10;2.65167E-10
835;Potassium-40;Air;high. pop.;Bq;0.119452088;x;0.00009574;0.001776837;x;x;0.042129111;0.0754504
836;Potassium-40;Air;low. pop.;Bq;0.160953357;x;0.0028462;0.059118696;x;x;0.054694528;0.044293933
837;Potassium-40;Eau;groundwater;Bq;0.00011766;x;3.2507E-06;7.74097E-05;x;x;1.82305E-05;1.87694E-05
838;Potassium-40;Eau;ocean;Bq;0.145880124;x;0.0038461;0.091404768;x;x;0.023917722;0.026711533
839;Potassium-40;Eau;river;Bq;0.409450439;x;0.0070379;0.146017872;x;x;0.145308333;0.111086333
840;Potassium chloride;Brut;in ground;kg;0.000110822;x;8.9266E-07;1.71029E-05;x;x;3.69911E-05;5.58355E-05
841;Potassium, ion;Eau;groundwater;kg;0.000432689;x;6.4439E-06;0.000133469;x;x;0.00015395;0.000138826
842;Potassium, ion;Eau;ocean;kg;0.00241921;x;0.00007668;0.002187931;x;x;0.000101731;5.28681E-05
843;Potassium, ion;Eau;river;kg;0.005395027;x;0.00024459;0.004532237;x;x;0.000382027;0.000236173
844;Propanal;Air;;kg;4.05699E-15;x;3.3283E-18;4.77357E-17;x;x;3.33149E-15;6.74436E-16
845;Propanal;Air;high. pop.;kg;2.41646E-07;x;7.797E-11;1.49167E-09;x;x;1.23107E-07;1.16969E-07
846;Propanal;Eau;river;kg;2.2216E-11;x;3.2357E-14;3.69664E-13;x;x;1.26994E-11;9.11458E-12
847;Propane;Air;;kg;8.14873E-08;x;6.6851E-11;9.58798E-10;x;x;6.69154E-08;1.35462E-08
848;Propane;Air;high. pop.;kg;0.001579409;x;0.000076624;0.001360523;x;x;8.46528E-05;0.000057609
849;Propane;Air;low. pop.;kg;0.000157585;x;3.0223E-06;8.19022E-05;x;x;3.19237E-05;0.000040737
850;Propene;Air;;kg;9.60523E-11;x;7.8802E-14;1.1302E-12;x;x;7.88758E-11;1.59675E-11
851;Propene;Air;high. pop.;kg;8.27588E-05;x;3.6821E-06;6.53256E-05;x;x;7.68824E-06;6.06282E-06
852;Propene;Air;low. pop.;kg;6.49446E-06;x;2.5604E-08;5.20491E-07;x;x;1.89563E-06;4.05273E-06
853;Propene;Eau;river;kg;8.15294E-06;x;1.182E-07;2.1821E-06;x;x;4.27622E-06;1.57642E-06
854;Propionic acid;Air;;kg;1.84929E-09;x;1.5172E-12;2.17598E-11;x;x;1.5186E-09;3.07421E-10
855;Propionic acid;Air;high. pop.;kg;7.55882E-07;x;5.4425E-09;1.10799E-07;x;x;2.89645E-07;3.49995E-07
856;Propionic acid;Eau;river;kg;5.34589E-11;x;2.1783E-13;3.89254E-12;x;x;1.71956E-11;3.2153E-11
857;Propylamine;Air;high. pop.;kg;3.70337E-12;x;5.3939E-15;6.16216E-14;x;x;2.11691E-12;1.51944E-12
858;Propylamine;Eau;river;kg;8.8882E-12;x;1.2945E-14;1.47892E-13;x;x;5.08064E-12;3.64672E-12
859;Propylene oxide;Air;high. pop.;kg;1.40868E-07;x;7.3149E-09;6.98203E-08;x;x;3.22534E-08;3.14796E-08
860;Propylene oxide;Eau;river;kg;3.38924E-07;x;1.7601E-08;1.68002E-07;x;x;7.75846E-08;7.57365E-08
861;Protactinium-234;Air;low. pop.;Bq;0.0411763;x;0.00037721;0.006776297;x;x;0.016050167;0.017972627
862;Protactinium-234;Eau;river;Bq;0.756756529;x;0.0069535;0.12494664;x;x;0.294076389;0.33078
863;Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;Brut;in ground;kg;9.15799E-10;x;2.8451E-11;7.23516E-10;x;x;8.46204E-11;7.92121E-11
864;Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;Brut;in ground;kg;3.28302E-09;x;1.0199E-10;2.59372E-09;x;x;3.03351E-10;2.83963E-10
865;Radioactive species, alpha emitters;Eau;river;Bq;0.003632639;x;0.00009544;0.002263061;x;x;0.000612283;0.000661856
866;Radioactive species, Nuclides, unspecified;Eau;ocean;Bq;238.9149427;x;2.5782;48.460776;x;x;89.4905;98.38546667
867;Radioactive species, Nuclides, unspecified;Eau;river;Bq;1.976066911;x;0.0081507;0.148874544;x;x;1.555108333;0.263933333
868;Radioactive species, other beta emitters;Air;high. pop.;Bq;145.7851678;x;0.054416;0.22536696;x;x;144.9741389;0.531246
869;Radioactive species, other beta emitters;Air;low. pop.;Bq;0.000867275;x;0.000014385;0.000293377;x;x;0.000266325;0.000293188
870;Radium-224;Eau;ocean;Bq;28.69626328;x;0.90968;25.954656;x;x;1.205911944;0.626015333
871;Radium-224;Eau;river;Bq;59.28360456;x;2.7992;51.245376;x;x;3.422180556;1.816848
872;Radium-226;Air;;Bq;6.16768E-10;x;4.8637E-12;8.27583E-11;x;x;2.50881E-10;2.78265E-10
873;Radium-226;Air;high. pop.;Bq;0.106198309;x;0.000085106;0.001579425;x;x;0.037465111;0.067068667
874;Radium-226;Air;low. pop.;Bq;1.545789929;x;0.015609;0.28896504;x;x;0.591273889;0.649942
875;Radium-226;Eau;;Bq;0.014015393;x;0.000011498;0.000164907;x;x;0.011509097;0.00232989
876;Radium-226;Eau;groundwater;Bq;0.00109195;x;0.000030169;0.000718405;x;x;0.000169188;0.000174189
877;Radium-226;Eau;ocean;Bq;47.274563;x;1.4913;42.38052;x;x;2.152241667;1.250501333
878;Radium-226;Eau;river;Bq;565.7501067;x;8.8073;159.78144;x;x;188.4591667;208.7022
879;Radium-228;Air;;Bq;1.82741E-10;x;1.4411E-12;2.45198E-11;x;x;7.4334E-11;8.24459E-11
880;Radium-228;Air;high. pop.;Bq;0.574092628;x;0.00046077;0.008553636;x;x;0.201812222;0.363266
881;Radium-228;Air;low. pop.;Bq;0.06019138;x;0.0010795;0.0224406;x;x;0.0200605;0.01661078
882;Radium-228;Eau;;Bq;0.01972112;x;0.000016179;0.00023205;x;x;0.016194444;0.003278447
883;Radium-228;Eau;ocean;Bq;57.39472111;x;1.8194;51.911496;x;x;2.411794444;1.252030667
884;Radium-228;Eau;river;Bq;118.5671598;x;5.5984;102.490752;x;x;6.844361111;3.633646667
885;Radon-220;Air;;Bq;1.28271E-08;x;1.0115E-10;1.72117E-09;x;x;5.2177E-09;5.78705E-09
886;Radon-220;Air;high. pop.;Bq;0.008892168;x;7.1282E-06;0.000132154;x;x;0.003162186;0.0055907
887;Radon-220;Air;low. pop.;Bq;7.341806156;x;0.13024;2.7057576;x;x;2.479663889;2.026144667
888;Radon-222;Air;;Bq;7.20428E-09;x;5.6813E-11;9.66682E-10;x;x;2.93046E-09;3.25033E-09
889;Radon-222;Air;high. pop.;Bq;0.008890465;x;7.1156E-06;0.00013194;x;x;0.00316145;0.00558996
890;Radon-222;Air;low. pop.;Bq;127113.1437;x;1205;21486.4104;x;x;49148.66667;55273.06667
891;Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground;Brut;in ground;kg;7.91801E-10;x;2.6872E-11;6.93289E-10;x;x;4.17419E-11;2.98985E-11
892;Rh, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground;Brut;in ground;kg;2.48002E-09;x;8.4166E-11;2.17146E-09;x;x;1.30739E-10;9.36495E-11
893;Rhenium;Brut;in ground;kg;1.10423E-09;x;4.9399E-11;9.77078E-10;x;x;4.96963E-11;2.80559E-11
894;Rubidium;Eau;ocean;kg;5.73947E-06;x;1.8194E-07;5.19115E-06;x;x;2.41179E-07;1.25203E-07
895;Rubidium;Eau;river;kg;1.18567E-05;x;5.5984E-07;1.02491E-05;x;x;6.84436E-07;3.63365E-07
896;Ruthenium-103;Air;low. pop.;Bq;5.34259E-07;x;1.5393E-09;8.7277E-09;x;x;2.35688E-07;2.88304E-07
897;Ruthenium-103;Eau;river;Bq;0.000519079;x;1.4956E-06;8.4796E-06;x;x;0.000228989;0.000280115
898;Sand;Brut;in ground;kg;4.06419E-05;x;3.5287E-07;6.94141E-06;x;x;2.5253E-05;8.09461E-06
899;Scandium;Air;high. pop.;kg;1.11356E-08;x;8.9331E-12;1.65818E-10;x;x;3.91876E-09;7.04209E-09
900;Scandium;Air;low. pop.;kg;8.49368E-09;x;2.2892E-11;4.26972E-10;x;x;2.57448E-09;5.46934E-09
901;Scandium;Eau;groundwater;kg;2.73516E-07;x;3.8496E-09;7.88468E-08;x;x;1.04442E-07;8.63777E-08
902;Scandium;Eau;river;kg;2.17836E-07;x;2.5559E-09;5.29554E-08;x;x;7.67013E-08;8.56229E-08
903;Selenium;Air;;kg;1.47868E-08;x;1.2111E-08;9.90095E-10;x;x;7.48124E-10;9.37629E-10
904;Selenium;Air;high. pop.;kg;5.42728E-07;x;1.7885E-08;3.78662E-07;x;x;6.78223E-08;7.83586E-08
905;Selenium;Air;low. pop.;kg;1.64256E-06;x;1.0852E-08;2.20387E-07;2.184E-07;x;8.1779E-07;3.75131E-07
906;Selenium;Air;stratosphere + troposphere;kg;2.89515E-15;x;5.7719E-17;1.01001E-15;x;x;1.34025E-15;4.87167E-16
907;Selenium;Eau;;kg;2.35255E-11;x;1.93E-14;2.768E-13;x;x;1.93185E-11;3.9109E-12
908;Selenium;Eau;groundwater;kg;5.56284E-07;x;8.0805E-09;1.67006E-07;x;x;2.10866E-07;1.70331E-07
909;Selenium;Eau;ocean;kg;1.75886E-07;x;5.5744E-09;1.59048E-07;x;x;7.40557E-09;3.85885E-09
910;Selenium;Eau;river;kg;7.80751E-07;x;1.186E-08;1.79088E-07;x;x;3.71515E-07;2.18288E-07
911;Shale;Brut;in ground;kg;3.21777E-06;x;1.3914E-08;2.52165E-07;x;x;2.42725E-06;5.24438E-07
912;Silicon;Air;;kg;3.56317E-13;x;2.3754E-15;4.72508E-14;x;x;1.13332E-13;1.9336E-13
913;Silicon;Air;high. pop.;kg;0.000143077;x;1.4714E-07;2.77368E-06;x;x;5.16721E-05;8.84843E-05
914;Silicon;Air;low. pop.;kg;5.49249E-05;x;9.8967E-08;1.8243E-06;x;x;2.08437E-05;3.21579E-05
915;Silicon;Eau;groundwater;kg;0.000319087;x;5.1438E-06;0.000106859;x;x;0.000100916;0.000106168
916;Silicon;Eau;ocean;kg;1.74594E-07;x;6.6601E-09;1.51238E-07;x;x;9.77776E-09;6.91875E-09
917;Silicon;Eau;river;kg;0.000649271;x;0.000002175;4.60409E-05;x;x;0.000197484;0.000403571
918;Silicon;Sol;agricultural;kg;1.54336E-05;x;2.4654E-07;4.95025E-06;x;x;4.99172E-06;5.24512E-06
919;Silicon;Sol;industrial;kg;8.0788E-05;x;2.9683E-06;7.17378E-05;x;x;3.85796E-06;2.22387E-06
920;Silicon tetrafluoride;Air;low. pop.;kg;3.04732E-09;x;8.4192E-11;2.00485E-09;x;x;4.72171E-10;4.86106E-10
921;Silver;Air;high. pop.;kg;1.05941E-09;x;1.261E-11;2.4166E-10;x;x;3.74563E-10;4.30581E-10
922;Silver;Air;low. pop.;kg;2.05939E-12;x;3.5377E-14;7.28626E-13;x;x;6.94064E-13;6.01324E-13
923;Silver-110;Air;low. pop.;Bq;5.29472E-06;x;1.5256E-08;8.64973E-08;x;x;2.33583E-06;2.85714E-06
924;Silver-110;Eau;river;Bq;1.963878392;x;0.0075264;0.076215048;x;x;0.851783611;1.028353333
925;Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground;Brut;in ground;kg;9.09648E-08;x;1.204E-09;9.12606E-09;x;x;5.97339E-08;2.09008E-08
926;Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore, in ground;Brut;in ground;kg;6.45781E-08;x;8.5959E-10;6.52688E-09;x;x;4.22498E-08;1.49418E-08
927;Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore, in ground;Brut;in ground;kg;5.95643E-09;x;7.9294E-11;6.01277E-10;x;x;3.89874E-09;1.37712E-09
928;Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore, in ground;Brut;in ground;kg;1.3604E-08;x;1.811E-10;1.37323E-09;x;x;8.90444E-09;3.14525E-09
929;Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore, in ground;Brut;in ground;kg;1.33341E-08;x;1.7751E-10;1.346E-09;x;x;8.72778E-09;3.08284E-09
930;Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore, in ground;Brut;in ground;kg;8.79855E-09;x;1.1713E-10;8.88167E-10;x;x;5.75904E-09;2.03421E-09
931;Silver, ion;Eau;;kg;2.21914E-08;x;1.8205E-11;2.61097E-10;x;x;1.82232E-08;3.6889E-09
932;Silver, ion;Eau;groundwater;kg;2.37086E-08;x;2.1578E-10;4.41867E-09;x;x;8.92255E-09;1.01516E-08
933;Silver, ion;Eau;ocean;kg;3.4436E-07;x;1.0916E-08;3.1146E-07;x;x;1.44711E-08;7.51223E-09
934;Silver, ion;Eau;river;kg;1.0747E-06;x;5.7519E-08;9.20884E-07;x;x;6.10737E-08;3.52191E-08
935;Sodium;Air;;kg;3.78586E-10;x;1.1959E-11;2.10544E-10;x;x;7.28676E-11;8.32155E-11
936;Sodium;Air;high. pop.;kg;3.53473E-05;x;1.0683E-06;2.25258E-05;x;x;5.86327E-06;5.88991E-06
937;Sodium;Air;low. pop.;kg;1.98206E-06;x;4.2476E-09;8.03035E-08;x;x;5.86798E-07;1.31071E-06
938;Sodium;Sol;;kg;2.39082E-06;x;2.2219E-07;3.96767E-07;x;x;1.02651E-06;7.45353E-07
939;Sodium;Sol;industrial;kg;0.001615759;x;0.000059365;0.001434757;x;x;7.71606E-05;4.44765E-05
