"idp","XCOORD","YCOORD","xl93","yl93","dc","dep"
435385,2.025876,48.970374,628642,6875132,0,"75"
435391,3.718775,47.955731,753609,6762149,8,"89"
435425,3.90122,45.074167,770879,6442262,0,"43"
435484,4.348017,49.708701,797245,6957660,0,"8"
435491,5.733115,45.537421,913218,6496996,9,"73"
435499,3.600071,47.47134,745158,6708259,8,"89"
435557,7.520114,49.002146,1030509,6887689,8,"57"
435596,-0.942692,43.236918,379630,6245725,0,"64"
435645,0.972303,45.436674,541441,6484152,0,"24"
435681,2.583987,45.786621,667638,6521064,0,"63"
435708,4.2905,46.759868,798451,6629866,0,"71"
435760,5.877423,47.3881,916985,6702795,0,"70"
435800,4.764793,46.822783,834488,6637552,0,"71"
435827,4.813234,45.021557,842773,6437654,0,"7"
435873,4.612899,46.951911,822618,6651643,0,"21"
436040,-0.008347,43.243396,455527,6243103,0,"65"
436057,0.230791,43.428132,475669,6262915,0,"32"
436100,-1.033218,43.521945,373899,6277738,0,"40"
436238,3.262395,49.416458,719005,6924342,0,"2"
436301,0.256752,43.392677,477634,6258903,0,"32"
436333,7.013619,47.942376,999489,6768035,0,"68"
436339,5.677078,45.034886,910739,6441068,0,"38"
436459,5.612745,47.3959,897001,6702967,9,"70"
436589,3.9136,47.305553,768986,6690070,0,"58"
436643,1.161381,47.364309,561204,6697813,9,"41"
436712,6.180032,44.226207,953936,6352782,0,"4"
436734,5.964831,44.773723,934474,6412891,0,"5"
436786,-2.796444,48.283673,270364,6814124,0,"22"
436805,4.805966,47.721883,835342,6737470,0,"21"
436827,1.960194,46.739943,620570,6627371,0,"36"
436833,-0.769949,44.59158,400838,6395398,0,"33"
437100,5.022744,47.789076,851398,6745327,0,"52"
437144,-0.682919,42.974811,399361,6215596,0,"64"
437150,1.400942,48.805324,582523,6857528,0,"28"
437178,4.806423,49.448606,830985,6929386,8,"8"
437182,2.855534,44.580286,688490,6387012,0,"12"
437277,2.480547,45.570881,659444,6497154,0,"19"
437337,3.654736,46.463028,750204,6596303,8,"3"
437361,3.914767,48.241064,767870,6794007,0,"10"
437458,0.643465,49.497956,529206,6935926,8,"76"
437567,-2.409291,48.480066,300505,6833866,9,"22"
437588,5.773041,48.237434,905802,6796825,0,"88"
437638,5.663191,48.204598,897774,6792897,0,"52"
437664,1.145341,48.083746,561871,6777752,0,"28"
437667,5.611679,48.673939,892224,6844911,0,"55"
437789,3.217638,46.809147,716555,6634557,0,"58"
437797,1.186703,47.418545,563253,6703792,0,"41"
437857,4.48546,47.710241,811343,6735676,0,"21"
437858,1.229651,45.349559,561339,6473996,0,"24"
437877,-0.493146,48.595443,442454,6838701,9,"61"
437886,-0.745372,47.815279,419763,6752945,0,"53"
437901,3.673887,48.298001,749934,6800155,0,"10"
437952,6.477273,45.548352,971196,6500492,0,"73"
437974,3.292611,49.559956,721139,6940316,8,"2"
437996,5.459892,48.408132,881974,6815018,0,"88"
438020,0.794394,47.234036,533111,6684057,0,"37"
438027,0.682367,44.874913,516950,6422413,0,"24"
438032,0.924187,49.321885,549027,6915773,8,"76"
438042,4.739056,48.011205,829619,6769497,8,"52"
438045,7.006574,48.771257,994291,6860020,0,"57"
438093,3.473732,44.036051,737931,6326654,0,"30"
438103,5.424769,46.896922,884531,6647117,8,"39"
438179,1.277712,48.174941,571946,6787661,7,"28"
438201,5.059722,48.508001,852082,6825268,0,"52"
438322,3.064282,49.040457,704659,6882488,0,"77"
438406,1.593044,46.792127,592644,6633600,0,"36"
438490,2.824539,46.811497,686580,6634810,0,"18"
438554,4.398464,48.215588,803826,6791702,0,"10"
438593,0.930165,48.099345,545899,6779883,0,"41"
438740,2.300083,47.262339,647034,6685105,0,"18"
438856,0.981049,49.250658,552958,6907745,0,"27"
438906,3.620719,45.023786,748850,6436454,0,"43"
438916,5.339578,48.195312,873775,6791104,8,"52"
439037,2.069162,45.87654,627759,6531390,0,"23"
439048,7.576435,49.01769,1034523,6889652,8,"57"
439091,-1.010219,44.818582,383070,6421519,0,"33"
439100,2.808893,48.016898,685711,6768719,9,"45"
439143,1.322468,48.642873,576377,6839590,0,"28"
439175,-3.145251,48.520275,246608,6842298,0,"22"
439344,-0.12822,43.744241,447997,6299106,9,"32"
439373,1.215528,49.827969,571479,6971556,0,"76"
439383,4.839917,48.440897,836025,6817410,0,"52"
439544,4.572648,49.776624,813304,6965518,0,"8"
439572,5.336096,49.076947,870617,6889069,8,"55"
439599,3.289432,47.906059,721583,6756425,0,"89"
439634,2.300992,45.912846,645776,6535236,0,"23"
439686,3.622133,49.485026,745056,6932117,0,"2"
439701,6.036571,48.535458,924081,6830646,8,"54"
439792,4.972966,47.8622,847469,6753355,0,"52"
439802,4.527516,46.79157,816470,6633709,0,"71"
439820,5.961295,47.061317,924669,6666756,0,"25"
439852,3.886218,44.53462,770371,6382324,0,"48"
439889,-0.423117,45.734959,433842,6521011,0,"17"
439901,2.501777,44.095795,660066,6333304,0,"12"
439902,-1.30451,47.006741,373078,6665392,0,"85"
439903,2.497465,42.568238,658640,6163499,0,"66"
440002,-0.351742,44.800585,434984,6417096,8,"33"
440092,2.077273,44.167536,626170,6341580,0,"81"
440094,4.697697,50.079645,821590,6999430,0,"8"
440102,5.964831,44.773723,934474,6412891,0,"5"
440103,6.189728,47.306068,940896,6694595,8,"25"
440107,4.679462,48.48017,824068,6821510,0,"52"
440110,5.783922,48.813001,904354,6860796,0,"54"
440117,1.048539,46.553342,550464,6607972,0,"36"
440127,2.250179,45.444986,641344,6483318,0,"19"
440130,5.56961,47.559158,893159,6720987,0,"70"
440160,2.378387,45.984817,651838,6543178,0,"23"
440174,-1.212888,49.205793,393062,6909064,0,"50"
