"idp","xl93","yl93","dc","dep"
709928,913804,6449034,0,"38"
709947,906217,6728869,8,"70"
709959,381874,6641339,9,"85"
709960,400540,6237562,8,"64"
709968,595625,6631576,0,"36"
709971,374668,6249762,0,"64"
710059,889914,6924883,0,"55"
710148,847718,6899260,0,"55"
710157,557145,6210295,0,"09"
710215,596126,6691527,0,"41"
710221,701686,6648672,0,"18"
710304,836529,6759445,9,"21"
710327,722451,6504616,0,"63"
710355,673141,6818792,0,"77"
710503,676680,6526983,8,"63"
710546,786238,6486091,0,"42"
710571,850025,6935220,0,"55"
710583,938846,6804535,0,"88"
710599,636801,6179664,0,"11"
710600,477627,6862396,0,"61"
710616,594161,6695540,0,"41"
710645,726001,6924283,0,"02"
710710,763501,6867997,9,"51"
710736,801866,6443997,0,"43"
710744,586385,6721586,8,"41"
710791,381137,6307648,6,"40"
710878,834650,6773451,0,"52"
710921,826023,6933426,0,"08"
710939,495711,6632407,0,"86"
710979,826108,6943420,0,"08"
711009,598425,6727481,0,"41"
711035,903320,6856808,8,"54"
711061,804332,6733738,0,"21"
711073,604360,6959288,0,"76"
711078,588350,6717573,0,"41"
711079,700565,6752605,0,"45"
711171,694147,6347004,0,"12"
711189,678531,6746795,0,"45"
711196,356566,6723485,0,"44"
711208,574559,6501861,0,"87"
711225,846350,6739375,0,"21"
711243,946014,6360842,0,"04"
711251,949702,6904379,0,"57"
711269,887940,6695051,0,"21"
711313,416423,6225445,0,"64"
711371,824828,6793522,0,"10"
711464,689758,6418971,0,"15"
711470,946014,6360842,0,"04"
711475,602061,6923327,8,"27"
711486,852585,6767302,0,"52"
711495,816970,6809578,0,"10"
711527,973938,6702304,8,"25"
711614,715353,6610586,0,"03"
711643,756759,6780110,0,"89"
711669,891019,6820936,0,"55"
711706,790326,6731858,8,"89"
711712,672973,6798807,0,"77"
711714,343132,6791547,0,"35"
711725,632872,6545335,0,"23"
711750,1000333,6750041,0,"68"
711840,954472,6762429,8,"70"
711869,798268,6725795,0,"21"
711923,509550,6614307,0,"86"
712006,674433,6734838,0,"45"
712012,588433,6727565,9,"41"
712056,903062,6826829,8,"55"
712108,422573,6487134,0,"17"
712116,704747,6774555,0,"89"
712139,797758,6665844,0,"71"
712173,720950,7036270,8,"59"
712191,747800,6666268,9,"58"
712232,507451,6240675,0,"31"
712236,569497,6613809,0,"36"
712247,453684,6382975,9,"33"
712400,390798,6267610,0,"64"
712411,353783,6627579,0,"85"
712423,674253,6357161,0,"12"
712479,470312,6460763,0,"24"
712563,642360,6485308,0,"19"
712582,636801,6179664,0,"11"
712585,897674,6664990,0,"39"
712586,369917,6645433,0,"85"
712616,530528,6734043,0,"37"
712620,672079,6455086,0,"15"
712703,559589,6623883,0,"36"
712704,560422,6723801,0,"41"
712779,699552,6632702,0,"03"
712787,480219,6450691,8,"24"
712792,372206,6925226,0,"50"
712845,676314,6720832,0,"45"
712906,983610,6896091,8,"57"
712936,431390,6223323,0,"64"
712955,598509,6737474,9,"41"
